Village_Name,Hospital_Count,Pond_Count
Chaulchhola,0,8
Chechai,1,0
Chereapahari,0,0
Chetag,0,0
Chete,1,0
Chhata Lohanda,0,1
Chhatarbad,0,0
Chhatarmandu,2,0
Chhatarpur,1,0
Chhatatanr,0,0
Chhipadohar,0,1
Chhota Asila,0,3
Chhota Bhorai,0,1
Chhota Boarijor,1,0
Chhota Kartikdanga,0,1
Chhota Kendau,0,1
Chhota Mahgama,0,1
Chhota Pokharia,0,0
Chhota Ranga,0,2
Chhota Sindari,0,1
Chhota Sonakar,0,8
Chhotaharchandpur,0,29
Chhuchi,0,5
Chichahra,1,0
Chiharpahar,0,3
Chikaniya,0,0
Chino,0,1
Chipo,0,1
Chirkunda,2,1
Chitarkota,0,0
Chitarpur,0,0
Chitarpur CT,1,10
Chitka Alias Chirka,0,0
Chitnari,0,1
Chitra,0,0
Chiyanki,0,0
Choukunda,0,1
Chungru,0,0
Churku,0,0
Chutia,0,13
Dadidih,0,1
Dahuatand,0,0
Dakaita,1,1
Dalanchak,0,1
Daludih,1,0
Dama,0,0
Dambhuni,0,3
Daminkol,0,2
Dandai,2,0
Dandiadih,1,0
Dandiya,0,0
Danowara,0,1
Danre,0,11
Darea,0,1
Darha,0,0
Dari,0,0
Dariapur,0,4
Dasiodih,1,0
Deoghar,55,27
Dergama,0,2
Dewgain,0,1
Dhabadih,0,1
Dhadikbona,0,0
Dhamna,0,0
Dhamni,1,0
Dhanaidih,0,0
Dhanaisoso,0,1
Dhanbad,77,68
Dhaniyadih,0,0
Dhanjoripareya,1,0
Dhanjuri,0,1
Dhanotanr,0,1
Dhanwar Dakshin,2,0
Dharampur,0,4
Dhardharwa,0,0
Dhargulli,0,1
Dharleto,0,0
Dharmudih,0,0
Dhatapara,0,3
Dhauni,0,1
Dhenukdih,0,1
Dhobani,0,0
Dhobarna,0,0
Dhobashol,0,0
Dhobdiha,0,1
Dhulahar,0,1
Digbad,0,1
Dighari,0,0
Dighi,0,1
Dimba,0,0
Dimra,0,1
Diuri,0,0
Dodari,0,2
Doki,0,1
Dolaicha,0,0
Domanpur,1,0
Domba,0,0
Dompara,0,1
Doraisantali,0,19
Doriya,0,1
Duarichak,1,0
Dudhani CT,1,0
Dudhiani,0,3
Dudhiapokhar,0,18
Dudhichua,0,1
Dudhijol,0,5
Dudhpani,1,0
Dudhwal,0,1
Dugda CT,0,2
Dugubathan,0,2
Dulampur,0,1
Dulmi,0,4
Dumardaga,4,0
Dumduma,0,5
Dumdumi,0,1
Dumka,8,7
Dumra,1,14
Dumripada,0,1
Dunduwa,0,1
Dungri,1,0
Duni,0,1
Durdalai,0,0
Durgadaspur,0,10
Durgapur,0,31
Edalhatu,1,0
Ekaguri,0,0
Ektara,0,2
Ektara Khas,0,1
Enaitpur,0,1
Fakiradih,0,3
Faridpur,0,3
Fatehpur,0,13
Forest,0,10
Gadaganj,0,12
Gadhra CT,0,1
Gadisirampur,0,0
Gagi,1,0
Gai Dahra,1,0
Gaisawra,0,2
Gajni,0,0
Gajpur,0,0
Galgaltanr,0,2
Galudi,0,1
Gambhariya,0,0
Gamharia,0,1
Gandhaniya,0,0
Ganeshpur,0,1
Ganga Parshad,2,0
Gangsagar,1,0
Ganiari,0,1
Ganjhandi,0,1
Gara Santali,0,1
Garhgaon,0,1
Garhwa,7,1
Gari,0,0
Garjanpara,0,26
Garkia Alias Parsabera,0,1
Gatlatu,3,0
Gauripur,0,2
Gegda,0,1
Gerapariharpur,0,2
Gerapokhar,0,3
Geswe,0,2
Ghaghar,0,0
Ghaghari,0,1
Ghaghra,0,0
Ghaghri,0,1
Ghagra CT,1,0
Ghasitola,1,0
Ghat Sekhachak,0,2
Ghatiari,0,4
Ghatshila CT,3,3
Ghoghi,0,0
Ghoradaha,1,0
Ghoralang,0,0
Ghori,0,1
Ghujadih,1,0
Ghunsuli,0,0
Ghutwe,0,2
Gilha,0,7
Ginjothakurgaon,0,5
Giridih Municipal Corporation,23,0
Gobardaha,0,1
Gobarsela,0,0
Gobindpur,0,1
Gobrandha,0,0
Godda,14,5
Gokulpur,0,1
Gola,0,2
Gopalpur,0,2
Gopikandar,1,0
Gopinathdih Alias Bardar,0,1
Gopladih,0,10
Gorgama,0,7
Gorhighat Chhit,0,3
Gosaidi,0,0
Gosaingaon,0,1
Gosaintola,0,1
Gourdhuba,0,1
Govindapur,0,1
Govindpur Part,5,0
Gowaidih,1,0
Gramsir,0,30
Guma,0,1
Gumda Pokhar,0,0
Gumia CT,4,4
Gumla,7,2
Gumru,0,0
Gundu,1,0
Gunihari,0,20
Gunri,0,3
Gurgain,0,1
Guro,0,1
Guru,1,0
Gurugaon,0,0
Gutjora,0,0
Gutuwa,3,0
Hadur,0,2
Hafua,0,1
Hajam,0,0
Halkata,0,0
Hansdiha,1,0
Hanwara,1,0
Harasuku,1,0
Haratu,0,0
Harchandpur,0,13
Hardi,0,1
Harhanji,0,0
Hariakol,0,1
Hariharpur Jamtoli,0,0
Harinchora,0,1
Harindhukri,0,0
Harishpur,0,0
Harla,2,0
Harmu,1,1
Harodih,0,1
Haroraydih,1,0
Harparwa Alias Biratpurwa,0,1
Harser,0,1
Harta,0,2
Hasir CT,0,0
Hassa,0,3
Hastipara,0,6
Hatgamharia,0,0
Hathigarh,0,5
Hathmari,0,1
Hendaljuri,0,2
Hendlaso,0,3
Heramdaga,0,0
Hesal,0,0
Hesatu,0,1
Hesla,0,0
Hetar Kalan,0,1
Hethu,0,0
Hindudih,0,0
Hiranpur Bazar,1,0
Hirapur,0,0
Hirhi,0,2
Hisri,0,1
Hohad,0,1
Hombai,0,1
Honhe,0,1
Horanda Alias Ramgarh,0,1
Hurangda,0,0
Husru,0,0
Hussainabad,1,0
Hutap,0,6
Hutar,0,2
Huthundu,1,0
Hutugdag,0,1
Hutup,1,0
Iakmi,0,1
Ichak,0,0
Idpara,0,2
Ikapokhar,0,1
Ilaki,0,5
Isri Bazar North,2,0
Itkithakurgoan,0,0
Jadugora CT,1,0
Jagamohanpur,0,1
Jagarnathpur,0,2
Jagatbatichandsar,0,6
Jahanabaj,0,0
Jaipur,0,0
Jala,0,0
Jalalpur,0,1
Jalanga,0,0
Jalapur Urf Jaipur,0,3
Jaldega,1,0
Jamalpur,0,14
Jambad,0,13
Jamdahri,0,0
Jamid,0,2
Jamkundar,0,1
Jampur,0,20
Jamshedpur,15,20
Jamtara,4,50
Jamua,1,2
Janewa,0,1
Jaridih,1,0
Jaridih Bazar CT,2,0
Jariya,0,1
Jarpahar,0,1
Jena CT,1,0
Jetkekumarjori,0,2
Jhabri,0,7
Jhaldumaria,0,0
Jhargaon,1,0
Jharha,0,0
Jhiktia,3,5
Jhimuli,0,11
Jhingani,0,0
Jhumri Telaiya,22,2
Jiajura,0,0
Jialgara,1,0
Jilingsereng,0,1
Jirua,0,0
Jiuri,0,0
Jogi Khura,0,0
Jogiadih,0,1
Jogichak,0,3
Joinabad,0,2
Jojodih,0,1
Jolanga,0,2
Jonha,1,0
Jonka,1,9
Jorapokhar,0,3
Jotjagat,0,1
Jotudhab,0,69
Joya,0,1
Jugsalai,5,8
Juma Bag,0,1
Junkudar,0,1
Juriya,1,0
Juruhar,0,0
Jurul,0,2
Kachan,0,1
Kachanpur,0,0
Kadal,1,0
Kadma,0,21
Kairbera,0,1
Kairo,0,0
Kaitha,1,0
Kajrat,0,0
Kakania,0,1
Kakuita,0,1
Kalhepat,0,0
Kalianpur,0,5
Kaliasol,0,3
Kalidan,0,6
Kalimati,0,1
Kalinagar,0,11
Kalipathar,1,0
Kaliyani,0,5
Kalubathan,0,7
Kalvapara,0,1
Kalyanpur,0,1
Kamalghati,1,0
Kamalkandi,0,1
Kamalpur,0,2
Kamarhatu,0,1
Kamarsali,1,0
Kamre,1,0
Kamu Dumaria,0,2
Kanadih,0,0
Kanchanpur,0,2
Kander,0,1
Kanidih Chhit,0,1
Kanke CT,1,2
Kankjol,0,15
Kapasara,0,2
Karampoda Reserved Forest,2,3
Karamtola,0,1
Karanghati,0,6
Karanjia,0,2
Karharbari,0,0
Kari Khutahari,0,0
Karitanr,1,0
