S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
56,646,Balod,7253,Arjunda,442829,2,Rehchi,रेंची,Rural,Inhabitant,01172100,442829,
57,646,Balod,7253,Arjunda,442797,2,Saloni,सलोनी,Rural,Inhabitant,01168800,442797,
58,646,Balod,7253,Arjunda,442839,2,Sanaod,सनौद,Rural,Inhabitant,01173100,442839,
59,646,Balod,7253,Arjunda,442787,2,Sibdi,सिब्दी,Rural,Inhabitant,01167800,442787,
60,646,Balod,7253,Arjunda,442820,2,Sikola,सिकोला,Rural,Inhabitant,01171100,442820,
61,646,Balod,7253,Arjunda,442788,2,Tekapar,टेकापार,Rural,Inhabitant,01167900,442788,
62,646,Balod,7253,Arjunda,442798,2,Tilkhairi (Gorekapar),तिलखैरी,Rural,Inhabitant,01168900,442798,
63,646,Balod,3321,Balod,443232,1,Admabad,अदमाबाद,Rural,Inhabitant,01224400,443232,
64,646,Balod,3321,Balod,443233,2,Amalidih,अमलीडीह,Rural,Inhabitant,01223400,443233,
65,646,Balod,3321,Balod,443193,1,Amora,अमोरा,Rural,Inhabitant,01208800,443193,
66,646,Balod,3321,Balod,443186,1,Angari,अंगारी,Rural,Inhabitant,01208100,443186,
67,646,Balod,3321,Balod,443231,1,Aorabhatha,औराभाठा,Rural,Inhabitant,01224300,443231,
68,646,Balod,3321,Balod,443174,1,Aroud,अरौद,Rural,Inhabitant,01206900,443174,
69,646,Balod,3321,Balod,443161,1,Baghmara,बाघमारा,Rural,Inhabitant,01205600,443161,
70,646,Balod,3321,Balod,931318,1,Balod,बालोद,Urban,Inhabitant,,000000,
71,646,Balod,3321,Balod,443224,1,Barahi,बरही,Rural,Inhabitant,01211900,443224,
72,646,Balod,3321,Balod,443201,1,Belmand,बेलमंद,Rural,Inhabitant,01209600,443201,
73,646,Balod,3321,Balod,443180,1,Bhengri,भेंगरी,Rural,Inhabitant,01207500,443180,
74,646,Balod,3321,Balod,443185,1,Bheriya Nawagaon,भेरिया नवागांव,Rural,Inhabitant,01208000,443185,
75,646,Balod,3321,Balod,443176,1,Bhoinapar,भोइनपार,Rural,Inhabitant,01207100,443176,
76,646,Balod,3321,Balod,443162,1,Bhothali,भोथली,Rural,Inhabitant,01205700,443162,
77,646,Balod,3321,Balod,443181,1,Biretra,बिरेतरा,Rural,Inhabitant,01207600,443181,
78,646,Balod,3321,Balod,443179,1,Bori,बोरी,Rural,Inhabitant,01207400,443179,
79,646,Balod,3321,Balod,443184,1,Borkee,बोरकी,Rural,Inhabitant,01207900,443184,
80,646,Balod,3321,Balod,443206,1,Charota,चरोटा,Rural,Inhabitant,01210100,443206,
81,646,Balod,3321,Balod,443187,1,Charwahi,चरवाही,Rural,Inhabitant,01208200,443187,
82,646,Balod,3321,Balod,443202,1,Chichbod,चिचबोद,Rural,Inhabitant,01209700,443202,
83,646,Balod,3321,Balod,443195,1,Chiraigodi,चिरईगोडी,Rural,Inhabitant,01209000,443195,
84,646,Balod,3321,Balod,443156,1,Daihan,दैहान,Rural,Inhabitant,01205100,443156,
85,646,Balod,3321,Balod,443147,1,Darbari Nawagaon,दरबारी नवागाव,Rural,Inhabitant,01204200,443147,
86,646,Balod,3321,Balod,443218,1,Darri Tola,दर्रीटोला,Rural,Inhabitant,01211300,443218,
87,646,Balod,3321,Balod,443148,1,Dengrapar,डेगरापार,Rural,Inhabitant,01204300,443148,
88,646,Balod,3321,Balod,443210,1,Deur Tarai,देउर तराई,Rural,Inhabitant,01210500,443210,
89,646,Balod,3321,Balod,443146,1,Devinawagaon,देवीनवागांव,Rural,Inhabitant,01204100,443146,
90,646,Balod,3321,Balod,443211,1,Dewar Bhat,देवार भाट,Rural,Inhabitant,01210600,443211,
91,646,Balod,3321,Balod,443151,1,Dhaura Bhatha,धौरा भाटा,Rural,Inhabitant,01204600,443151,
92,646,Balod,3321,Balod,443150,1,Ghumka,घुमका,Rural,Inhabitant,01204500,443150,
93,646,Balod,3321,Balod,443229,1,Godpal,गोडपाल,Rural,Inhabitant,01212400,443229,
94,646,Balod,3321,Balod,443192,1,Godri,गोदरी,Rural,Inhabitant,01208700,443192,
95,646,Balod,3321,Balod,443230,1,Gondlifeeder,गोंदलीफीडेर,Rural,Inhabitant,01224200,443230,
96,646,Balod,3321,Balod,443214,1,Hathod,हथोड,Rural,Inhabitant,01210900,443214,
97,646,Balod,3321,Balod,443205,1,Hirapur,हीरापुर,Rural,Inhabitant,01210000,443205,
98,646,Balod,3321,Balod,443212,1,Jagatara,जगतारा,Rural,Inhabitant,01210700,443212,
99,646,Balod,3321,Balod,443149,1,Jagnnathpur,जगन्नाथपुर,Rural,Inhabitant,01204400,443149,
100,646,Balod,3321,Balod,443215,1,Jam Gaon B,जाम गाँव ब,Rural,Inhabitant,01211000,443215,
101,646,Balod,3321,Balod,443213,1,Jamruwa,जमरुवा,Rural,Inhabitant,01210800,443213,
102,646,Balod,3321,Balod,443208,1,Jhalmala,झलमला,Rural,Inhabitant,01210300,443208,
103,646,Balod,3321,Balod,443167,1,Jugera,जुगेरा,Rural,Inhabitant,01206200,443167,
104,646,Balod,3321,Balod,443225,1,Kande,कांदे,Rural,Inhabitant,01212000,443225,
105,646,Balod,3321,Balod,443216,1,Kannewada,कन्नेवाडा,Rural,Inhabitant,01211100,443216,
106,646,Balod,3321,Balod,443197,1,Karahibhadar,करहीभदर,Rural,Inhabitant,01209200,443197,
107,646,Balod,3321,Balod,443217,1,Karka Bhat,करका भाट,Rural,Inhabitant,01211200,443217,
108,646,Balod,3321,Balod,443166,1,Khairtarai,खैरतराई,Rural,Inhabitant,01206100,443166,
109,646,Balod,3321,Balod,443171,1,Khairwahi,खैरवाही,Rural,Inhabitant,01206600,443171,
110,646,Balod,3321,Balod,443177,1,Khapri,खपरी,Rural,Inhabitant,01207200,443177,
111,646,Balod,3321,Balod,443165,1,Kharthuli,खरथुली,Rural,Inhabitant,01206000,443165,
112,646,Balod,3321,Balod,443155,1,Kherthadih,खेरथाडीह,Rural,Inhabitant,01205000,443155,
113,646,Balod,3321,Balod,443152,1,Khursipar,खुर्सीपार,Rural,Inhabitant,01204700,443152,
114,646,Balod,3321,Balod,443164,1,Kohanga Tola,कोहंगा टोला,Rural,Inhabitant,01205900,443164,
115,646,Balod,3321,Balod,443175,1,Latabor,लाटाबोर,Rural,Inhabitant,01207000,443175,
116,646,Balod,3321,Balod,443194,1,Limora,लिमोरा,Rural,Inhabitant,01208900,443194,
117,646,Balod,3321,Balod,443182,1,Londi,लोंदी,Rural,Inhabitant,01207700,443182,
118,646,Balod,3321,Balod,443228,1,Malgaon,मालगाँव,Rural,Inhabitant,01212300,443228,
119,646,Balod,3321,Balod,443153,1,Manaud,मनौद,Rural,Inhabitant,01204800,443153,
120,646,Balod,3321,Balod,443183,1,Matiya,मतिया,Rural,Inhabitant,01207800,443183,
121,646,Balod,3321,Balod,443222,1,Matiya B,मतिया ब,Rural,Inhabitant,01211700,443222,
122,646,Balod,3321,Balod,443160,1,Merkee,मेरकी,Rural,Inhabitant,01205500,443160,
123,646,Balod,3321,Balod,443196,1,Mujgahan,मुजगहन,Rural,Inhabitant,01209100,443196,
124,646,Balod,3321,Balod,443226,1,Mullagura,मुल्लागुरा,Rural,Inhabitant,01212100,443226,
125,646,Balod,3321,Balod,443227,1,Mulle,मुल्ले,Rural,Inhabitant,01212200,443227,
126,646,Balod,3321,Balod,443190,1,Naga Dabri,नागा डबरी,Rural,Inhabitant,01208500,443190,
127,646,Balod,3321,Balod,443223,1,Narra,नर्रा,Rural,Inhabitant,01211800,443223,
128,646,Balod,3321,Balod,443169,1,Newari Kalan,नेवरी कलन,Rural,Inhabitant,01206400,443169,
129,646,Balod,3321,Balod,443173,1,Newari Khurd,नेवरी खुर्द,Rural,Inhabitant,01206800,443173,
130,646,Balod,3321,Balod,443189,1,Nipani,निपानी,Rural,Inhabitant,01208400,443189,
131,646,Balod,3321,Balod,443159,1,Orma,ओरमा,Rural,Inhabitant,01205400,443159,
132,646,Balod,3321,Balod,443207,1,Pakur Bhat,पाकुर भाट,Rural,Inhabitant,01210200,443207,
133,646,Balod,3321,Balod,443199,1,Parekibhat,परेकीभाट,Rural,Inhabitant,01209400,443199,
134,646,Balod,3321,Balod,945897,1,Parras,पररास,Urban,Inhabitant,,000000,
135,646,Balod,3321,Balod,443198,1,Parreguda,पर्रेगुडा,Rural,Inhabitant,01209300,443198,
136,646,Balod,3321,Balod,443143,1,Parsada,परसदा,Rural,Inhabitant,01203800,443143,
137,646,Balod,3321,Balod,443178,1,Parsahi,परसाही,Rural,Inhabitant,01207300,443178,
138,646,Balod,3321,Balod,443203,1,Parsoda,परसोड़ा,Rural,Inhabitant,01209800,443203,
139,646,Balod,3321,Balod,443188,1,Piparchhedi,पिपरछेदी,Rural,Inhabitant,01208300,443188,
140,646,Balod,3321,Balod,443172,1,Pondi,पोड़ी,Rural,Inhabitant,01206700,443172,
141,646,Balod,3321,Balod,443168,1,Rani Tarai,रानी तराई,Rural,Inhabitant,01206300,443168,
142,646,Balod,3321,Balod,443163,1,Rewati Nawagaon,रेवती नवागांव,Rural,Inhabitant,01205800,443163,
